image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,1.213400,0.002200,1.600300,2.815900,1.000000,195
test_512x512.pgm,512,512,262144,openmp,16,1.035500,0.003200,0.385600,1.424300,1.977041,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,7.768600,0.003500,11.302500,19.074600,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,16,1.979700,0.003900,3.900900,5.884500,3.241499,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,33.311400,0.003900,30.151600,63.466900,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,16,6.792000,0.003500,6.425500,13.221000,4.800461,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,58.537900,0.002500,50.266700,108.807100,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,16,11.028700,0.003400,9.598000,20.630100,5.274192,57
