image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,1.233300,0.002200,1.610300,2.845800,1.000000,195
test_512x512.pgm,512,512,262144,openmp,4,0.727000,0.002200,0.421900,1.151100,2.472244,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,5.064300,0.002400,6.010200,11.076900,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,4,4.769300,0.003500,2.810900,7.583700,1.460619,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,27.604700,0.002500,23.558000,51.165200,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,4,10.650500,0.003500,9.692500,20.346500,2.514693,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,53.289200,0.003500,49.940500,103.233200,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,4,12.087400,0.002200,12.035600,24.125200,4.279061,57
