image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,1.230700,0.002300,1.573400,2.806400,1.000000,195
test_512x512.pgm,512,512,262144,openmp,1,1.456600,0.002300,1.478600,2.937500,0.955370,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,4.908200,0.002400,7.311400,12.222000,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,1,6.596000,0.002500,5.252100,11.850600,1.031340,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,20.896200,0.002500,21.966000,42.864700,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,1,27.398300,0.003600,25.590600,52.992500,0.808882,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,42.203500,0.002700,49.450800,91.657000,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,1,47.285400,0.002400,44.161500,91.449300,1.002271,57
