image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,0.122100,0.000900,0.170100,0.293100,1.000000,195
test_512x512.pgm,512,512,262144,openmp,1,0.172700,0.000800,0.176500,0.350000,0.837429,195
test_512x512.pgm,512,512,262144,cuda,0,105.973000,0.001300,0.367500,106.341800,0.002756,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,0.499900,0.001000,0.593800,1.094700,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,1,0.571800,0.000800,0.572800,1.145400,0.955736,62
test_1024x1024.pgm,1024,1024,1048576,cuda,0,0.681300,0.001200,0.625200,1.307700,0.837119,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,2.051700,0.000800,2.366700,4.419200,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,1,2.288300,0.000700,2.339000,4.628000,0.954883,62
test_2048x2048.pgm,2048,2048,4194304,cuda,0,1.121400,0.001200,1.442700,2.565300,1.722683,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,4.087300,0.000900,4.305000,8.393200,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,1,4.636300,0.000700,4.704200,9.341200,0.898514,57
test_3840x2160.pgm,3840,2160,8294400,cuda,0,1.744200,0.001200,2.432400,4.177800,2.009000,57
