image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,0.124500,0.000900,0.177600,0.303000,1.000000,195
test_512x512.pgm,512,512,262144,openmp,2,0.177700,0.000700,0.119200,0.297600,1.018145,195
test_512x512.pgm,512,512,262144,cuda,0,142.222488,0.001100,0.394600,142.618188,0.002125,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,0.591000,0.001700,0.789400,1.382100,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,2,0.489500,0.000600,0.539400,1.029500,1.342496,62
test_1024x1024.pgm,1024,1024,1048576,cuda,0,0.948600,0.000900,0.516400,1.465900,0.942834,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,2.452900,0.001000,4.345700,6.799600,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,2,2.211400,0.000800,2.566800,4.779000,1.422808,62
test_2048x2048.pgm,2048,2048,4194304,cuda,0,1.279800,0.001100,1.528800,2.809700,2.420045,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,4.027100,0.000700,4.350700,8.378500,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,2,2.299200,0.000600,2.825300,5.125100,1.634797,57
test_3840x2160.pgm,3840,2160,8294400,cuda,0,2.002400,0.001900,3.544100,5.548400,1.510075,57
