image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,1.231800,0.002200,1.602100,2.836100,1.000000,195
test_512x512.pgm,512,512,262144,openmp,8,0.807600,0.003200,0.402300,1.213100,2.337895,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,6.817200,0.003400,9.476100,16.296700,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,8,1.956000,0.003700,1.548800,3.508500,4.644919,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,33.477100,0.003700,30.909700,64.390500,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,8,6.839000,0.002400,6.020700,12.862100,5.006220,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,54.387000,0.002500,53.701500,108.091000,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,8,12.531500,0.002400,10.754200,23.288100,4.641469,57
