image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,1.227900,0.002200,1.594400,2.824500,1.000000,195
test_512x512.pgm,512,512,262144,openmp,2,1.059600,0.002200,0.879000,1.940800,1.455328,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,4.856100,0.002400,7.377400,12.235900,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,2,3.847200,0.003300,3.269100,7.119600,1.718622,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,22.802200,0.002700,23.257400,46.062300,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,2,12.426500,0.002600,10.430100,22.859200,2.015044,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,41.252700,0.002400,49.809900,91.065000,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,2,24.078800,0.002400,22.065000,46.146200,1.973402,57
