image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,0.127300,0.000900,0.187400,0.315600,1.000000,195
test_512x512.pgm,512,512,262144,openmp,4,0.197600,0.000700,0.083200,0.281500,1.121137,195
test_512x512.pgm,512,512,262144,cuda,0,117.953598,0.001400,0.339200,118.294198,0.002668,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,0.537800,0.000900,0.587300,1.126000,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,4,0.321200,0.000700,0.363800,0.685700,1.642118,62
test_1024x1024.pgm,1024,1024,1048576,cuda,0,0.748000,0.001000,0.591500,1.340500,0.839985,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,2.258700,0.000900,2.805300,5.064900,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,4,1.601000,0.000700,1.359500,2.961200,1.710421,62
test_2048x2048.pgm,2048,2048,4194304,cuda,0,1.150500,0.001200,1.374100,2.525800,2.005266,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,4.133000,0.000800,4.392100,8.525900,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,4,1.148100,0.000600,2.533900,3.682600,2.315185,57
test_3840x2160.pgm,3840,2160,8294400,cuda,0,2.300300,0.001400,3.500300,5.802000,1.469476,57
