image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,0.122800,0.000900,0.166700,0.290400,1.000000,195
test_512x512.pgm,512,512,262144,openmp,16,0.723700,0.000800,0.107900,0.832400,0.348871,195
test_512x512.pgm,512,512,262144,cuda,0,160.724304,0.001300,0.364100,161.089704,0.001803,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,0.625500,0.001200,1.076200,1.702900,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,16,0.272000,0.001000,0.423400,0.696400,2.445290,62
test_1024x1024.pgm,1024,1024,1048576,cuda,0,0.787600,0.001200,0.661300,1.450100,1.174333,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,2.711600,0.000900,4.227300,6.939800,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,16,0.554900,0.000700,1.518200,2.073800,3.346417,62
test_2048x2048.pgm,2048,2048,4194304,cuda,0,1.326500,0.001100,5.306700,6.634300,1.046049,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,6.530600,0.001400,10.113700,16.645700,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,16,2.359000,0.000800,3.483100,5.842900,2.848876,57
test_3840x2160.pgm,3840,2160,8294400,cuda,0,2.041600,0.001400,2.865100,4.908100,3.391475,57
